timestamp,test-class,test-method,time,description,result
2021-08-25 20:41:42.071,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,3764,"[1] recordIndex=0, moment=23/08/2021 23:59:00, author=Juan Perez, text=hola, link=http://www.example.com",OK
2021-08-25 20:41:43.896,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1284,"[2] recordIndex=1, moment=24/08/2021 23:59:00, author=Leonardo Dicaprio, text=buenos días, link=http://www.example.com",OK
2021-08-25 20:41:45.782,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1371,"[3] recordIndex=2, moment=25/08/2021 23:59:00, author=Joe Biden, text=Me aburro, link=null",OK
2021-08-25 20:41:47.711,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1488,"[4] recordIndex=3, moment=26/08/2021 23:59:00, author=Angela Merkel, text=Algo que decir, link=null",OK
2021-08-25 20:41:50.398,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1999,"[5] recordIndex=4, moment=27/08/2021 23:59:00, author=Angelina Jolie, text=NOOOOOOOO, link=null",OK
2021-08-25 20:41:53.178,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,2115,"[6] recordIndex=5, moment=28/08/2021 23:59:00, author=Miss X, text=YES, link=http://www.example.com",OK
2021-08-25 20:41:55.055,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1360,"[7] recordIndex=6, moment=29/08/2021 23:59:00, author=Jane Doe, text=q passssa?, link=http://www.example.com",OK
2021-08-25 20:42:28.298,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5803,"[1] recordIndex=7, author=Paco Gonzalez, text=jajajajajaja, link=http://www.example.com",OK
2021-08-25 20:42:34.014,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5216,"[2] recordIndex=8, author=Nadie, text=Así sí, link=http://www.example.com",OK
2021-08-25 20:42:38.026,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3557,"[3] recordIndex=9, author=Mr Bean, text=Así no, link=null",OK
2021-08-25 20:42:43.297,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4892,"[4] recordIndex=10, author=The Lord of the Flies, text=Whatever, link=null",OK
2021-08-25 20:42:45.637,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1918,"[1] recordIndex=0, author=Paco, text=jojojo, link=http://www.example.com",OK
2021-08-25 20:42:47.861,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1857,"[2] recordIndex=0, author=Un señor con un nombre demasiado largo, text=Así sí, link=http://www.example.com",OK
2021-08-25 20:42:50.091,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1819,"[3] recordIndex=0, author=Eddard Stark, text=null, link=null",OK
2021-08-25 20:42:53.123,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2589,"[4] recordIndex=0, author=Anónimo, text=What is Lorem Ipsum?
Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently wit…, link=null",OK
2021-08-25 20:44:20.606,acme.testing.anonymous.task.AuthenicatedTaskListTest,list,60123,"[1] recordIndex=0, title=Task 05, description=This is task 05, executionPeriod=30, link=http://www.moreinfo.something.com, workloadHours=3, workloadMinutes=null, workload=3.00",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='User']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='List Tasks']'
2021-08-25 20:45:21.176,acme.testing.anonymous.task.AuthenicatedTaskListTest,list,60110,"[2] recordIndex=1, title=Task 15, description=This is task 15, executionPeriod=61, link=http://www.moreinfo.something.com, workloadHours=4, workloadMinutes=null, workload=4.00",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='User']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='List Tasks']'
2021-08-25 20:46:21.925,acme.testing.anonymous.task.AuthenicatedTaskListTest,list,60131,"[3] recordIndex=2, title=Task 25, description=This is task 25, executionPeriod=30, link=null, workloadHours=20, workloadMinutes=null, workload=20.00",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='User']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='List Tasks']'
