timestamp,test-class,test-method,time,description,result
2021-08-25 17:44:41.834,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,2986,"[1] recordIndex=0, moment=23/08/2021 23:59:00, author=Juan Perez, text=hola, link=http://www.example.com",OK
2021-08-25 17:44:43.603,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1263,"[2] recordIndex=1, moment=24/08/2021 23:59:00, author=Leonardo Dicaprio, text=buenos días, link=http://www.example.com",OK
2021-08-25 17:44:45.269,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1233,"[3] recordIndex=2, moment=25/08/2021 23:59:00, author=Joe Biden, text=Me aburro, link=null",OK
2021-08-25 17:44:46.914,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1230,"[4] recordIndex=3, moment=26/08/2021 23:59:00, author=Angela Merkel, text=Algo que decir, link=null",OK
2021-08-25 17:44:48.92,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1273,"[5] recordIndex=4, moment=27/08/2021 23:59:00, author=Angelina Jolie, text=NOOOOOOOO, link=null",OK
2021-08-25 17:44:50.565,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1245,"[6] recordIndex=5, moment=28/08/2021 23:59:00, author=Miss X, text=YES, link=http://www.example.com",OK
2021-08-25 17:44:52.346,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1342,"[7] recordIndex=6, moment=29/08/2021 23:59:00, author=Jane Doe, text=q passssa?, link=http://www.example.com",OK
2021-08-25 17:45:22.051,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5321,"[1] recordIndex=7, author=Paco Gonzalez, text=jajajajajaja, link=http://www.example.com",OK
2021-08-25 17:45:26.225,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3782,"[2] recordIndex=8, author=Nadie, text=Así sí, link=http://www.example.com",OK
2021-08-25 17:45:30.794,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4107,"[3] recordIndex=9, author=Mr Bean, text=Así no, link=null",OK
2021-08-25 17:45:36.009,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4787,"[4] recordIndex=10, author=The Lord of the Flies, text=Whatever, link=null",OK
2021-08-25 17:45:38.329,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1911,"[1] recordIndex=0, author=Paco, text=jojojo, link=http://www.example.com",OK
2021-08-25 17:45:40.574,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1879,"[2] recordIndex=0, author=Un señor con un nombre demasiado largo, text=Así sí, link=http://www.example.com",OK
2021-08-25 17:45:42.834,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1818,"[3] recordIndex=0, author=Eddard Stark, text=null, link=null",OK
2021-08-25 17:45:45.721,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2496,"[4] recordIndex=0, author=Anónimo, text=What is Lorem Ipsum?
Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently wit…, link=null",OK
2021-08-25 17:46:09.709,acme.testing.authenticated.task.AuthenicatedTaskListTest,list,3,"[1] recordIndex=0, title=Task 01, description=This is task 01, executionPeriodStart=25/09/2021 12:00:00, executionPeriodEnd=25/10/2021 15:00:00, executionPeriod=30, link=http://www.moreinfo.something.com, workloadHours=3, workloadMinutes=null, workload=3.00",No ParameterResolver registered for parameter [final java.lang.String statement] in method [public void acme.testing.authenticated.task.AuthenicatedTaskListTest.list(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)].
2021-08-25 17:46:10.34,acme.testing.authenticated.task.AuthenicatedTaskListTest,list,1,"[2] recordIndex=1, title=Task 11, description=This is task 11, executionPeriodStart=25/09/2021 12:00:00, executionPeriodEnd=25/11/2021 12:00:00, executionPeriod=61, link=http://www.moreinfo.something.com, workloadHours=4, workloadMinutes=null, workload=4.00",No ParameterResolver registered for parameter [final java.lang.String statement] in method [public void acme.testing.authenticated.task.AuthenicatedTaskListTest.list(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)].
2021-08-25 17:46:11.465,acme.testing.authenticated.task.AuthenicatedTaskListTest,list,1,"[3] recordIndex=2, title=Task 21, description=This is task 21, executionPeriodStart=25/09/2021 12:00:00, executionPeriodEnd=25/10/2021 21:00:00, executionPeriod=30, link=null, workloadHours=20, workloadMinutes=null, workload=20.00",No ParameterResolver registered for parameter [final java.lang.String statement] in method [public void acme.testing.authenticated.task.AuthenicatedTaskListTest.list(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)].
2021-08-25 17:46:11.904,acme.testing.authenticated.task.AuthenicatedTaskListTest,list,1,"[4] recordIndex=3, title=Task 31, description=This is task 31, executionPeriodStart=25/09/2021 12:00:00, executionPeriodEnd=25/12/2021 20:00:00, executionPeriod=91, link=null, workloadHours=8, workloadMinutes=33, workload=8.55",No ParameterResolver registered for parameter [final java.lang.String statement] in method [public void acme.testing.authenticated.task.AuthenicatedTaskListTest.list(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)].
2021-08-25 17:46:12.32,acme.testing.authenticated.task.AuthenicatedTaskListTest,list,0,"[5] recordIndex=4, title=Task 41, description=This is task 41, executionPeriodStart=25/09/2021 12:00:00, executionPeriodEnd=25/10/2021 16:00:00, executionPeriod=30, link=null, workloadHours=13, workloadMinutes=30, workload=13.50",No ParameterResolver registered for parameter [final java.lang.String statement] in method [public void acme.testing.authenticated.task.AuthenicatedTaskListTest.list(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)].
2021-08-25 17:46:12.823,acme.testing.authenticated.task.AuthenicatedTaskListTest,list,1,"[6] recordIndex=5, title=Task 51, description=This is task 51, executionPeriodStart=25/09/2021 12:00:00, executionPeriodEnd=25/11/2021 12:00:00, executionPeriod=61, link=http://www.moreinfo.something.com, workloadHours=1, workloadMinutes=55, workload=1.92",No ParameterResolver registered for parameter [final java.lang.String statement] in method [public void acme.testing.authenticated.task.AuthenicatedTaskListTest.list(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)].
2021-08-25 17:46:13.257,acme.testing.authenticated.task.AuthenicatedTaskListTest,list,1,"[7] recordIndex=6, title=Task 61, description=This is task 61, executionPeriodStart=25/09/2021 12:00:00, executionPeriodEnd=25/11/2021 8:00:00, executionPeriod=60, link=http://www.moreinfo.something.com, workloadHours=50, workloadMinutes=5, workload=50.08",No ParameterResolver registered for parameter [final java.lang.String statement] in method [public void acme.testing.authenticated.task.AuthenicatedTaskListTest.list(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)].
2021-08-25 17:46:42.514,acme.testing.PanicTest,positivePanic,920,"positivePanic()",OK
2021-08-25 17:46:44.546,acme.testing.PanicTest,negativePanic,385,"negativePanic()",OK
