timestamp,test-class,test-method,time,description,result
2021-08-25 17:23:29.706,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,3821,"[1] recordIndex=0, moment=23/08/2021 23:59:00, author=Juan Perez, text=hola, link=http://www.example.com",OK
2021-08-25 17:23:32.73,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,2388,"[2] recordIndex=1, moment=24/08/2021 23:59:00, author=Leonardo Dicaprio, text=buenos días, link=http://www.example.com",OK
2021-08-25 17:23:35.629,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1896,"[3] recordIndex=2, moment=25/08/2021 23:59:00, author=Joe Biden, text=Me aburro, link=null",OK
2021-08-25 17:23:37.909,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1375,"[4] recordIndex=3, moment=26/08/2021 23:59:00, author=Angela Merkel, text=Algo que decir, link=null",OK
2021-08-25 17:23:39.744,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1410,"[5] recordIndex=4, moment=27/08/2021 23:59:00, author=Angelina Jolie, text=NOOOOOOOO, link=null",OK
2021-08-25 17:23:41.411,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1243,"[6] recordIndex=5, moment=28/08/2021 23:59:00, author=Miss X, text=YES, link=http://www.example.com",OK
2021-08-25 17:23:43.038,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1239,"[7] recordIndex=6, moment=29/08/2021 23:59:00, author=Jane Doe, text=q passssa?, link=http://www.example.com",OK
2021-08-25 17:24:21.051,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,8557,"[1] recordIndex=7, author=Paco Gonzalez, text=jajajajajaja, link=http://www.example.com",OK
2021-08-25 17:24:25.669,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4159,"[2] recordIndex=8, author=Nadie, text=Así sí, link=http://www.example.com",OK
2021-08-25 17:24:30.7,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4633,"[3] recordIndex=9, author=Mr Bean, text=Así no, link=null",OK
2021-08-25 17:24:35.752,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4630,"[4] recordIndex=10, author=The Lord of the Flies, text=Whatever, link=null",OK
2021-08-25 17:24:38.337,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2129,"[1] recordIndex=0, author=Paco, text=jojojo, link=http://www.example.com",OK
2021-08-25 17:24:40.566,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1865,"[2] recordIndex=0, author=Un señor con un nombre demasiado largo, text=Así sí, link=http://www.example.com",OK
2021-08-25 17:24:42.785,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1867,"[3] recordIndex=0, author=Eddard Stark, text=null, link=null",OK
2021-08-25 17:24:45.643,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2502,"[4] recordIndex=0, author=Anónimo, text=What is Lorem Ipsum?
Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently wit…, link=null",OK
